Runtime logs for iteration started at 20:27:04, 2021-05-23.
Avg return step
	Step 0
		1, 220.0, 4[778, 0, 291]
		2, 220.0, 0[692, 0, 224]
		3, 220.0, 1[868, 0, 155]
		4, 220.0, 1[754, 0, 315]
		5, 220.0, 3[765, 0, 106]
		6, 240.0, 4[747, 0, 257]
		7, 232.0, 4[820, 0, 203]
		8, 224.0, 1[820, 0, 259]
		9, 220.0, 2[813, 0, 122]
		10, 220.0, 3[722, 0, 299]
	Step 1
		1, 220.0, 1[874, 0, 291]
		2, 220.0, 4[786, 0, 307]
		3, 220.0, 1[787, 0, 225]
		4, 220.0, 4[787, 0, 169]
		5, 220.0, 4[763, 0, 217]
		6, 220.0, 1[860, 0, 203]
		7, 220.0, 1[842, 0, 299]
		8, 220.0, 4[837, 0, 122]
		9, 220.0, 4[787, 0, 233]
		10, 220.0, 1[692, 0, 176]
	Step 2
		1, 220.0, 2[757, 0, 98]
		2, 220.0, 3[794, 0, 299]
		3, 220.0, 0[860, 0, 155]
		4, 220.0, 3[771, 0, 233]
		5, 220.0, 2[731, 0, 153]
		6, 220.0, 4[692, 0, 216]
		7, 220.0, 2[692, 0, 160]
		8, 232.0, 4[836, 0, 163]
		9, 224.0, 1[731, 0, 145]
		10, 224.0, 1[779, 0, 249]
	Step 3
		1, 220.0, 1[754, 0, 299]
		2, 220.0, 0[755, 0, 185]
		3, 220.0, 2[852, 0, 187]
		4, 220.0, 0[844, 0, 211]
		5, 220.0, 2[836, 0, 187]
		6, 220.0, 4[755, 0, 153]
		7, 220.0, 3[731, 0, 193]
		8, 220.0, 1[860, 0, 211]
		9, 220.0, 2[868, 0, 267]
		10, 220.0, 1[738, 0, 291]
	Step 4
		1, 220.0, 4[787, 0, 169]
		2, 220.0, 1[708, 0, 152]
		3, 220.0, 3[755, 0, 193]
		4, 220.0, 2[763, 0, 249]
		5, 220.0, 1[844, 0, 187]
		6, 220.0, 3[739, 0, 257]
		7, 220.0, 0[733, 0, 114]
		8, 220.0, 4[812, 0, 155]
		9, 220.0, 2[787, 0, 209]
		10, 220.0, 0[868, 0, 195]
	Step 5
		1, 220.0, 2[684, 0, 256]
		2, 220.0, 4[834, 0, 315]
		3, 220.0, 2[812, 0, 203]
		4, 220.0, 3[692, 0, 224]
		5, 220.0, 2[755, 0, 209]
		6, 220.0, 0[755, 0, 249]
		7, 220.0, 1[730, 0, 315]
